,index,zip,outflow
545,114,24530,264014815733.95322
546,310,24347,263463092650.52847
547,221,24150,259657011565.92163
548,479,22938,257009614687.83328
549,88,24059,256641034692.3705
550,252,24230,255457040349.5893
551,585,22460,255225420746.25995
552,352,24085,254874969288.86206
553,155,24609,253476817318.52722
554,238,24184,252879790443.7351
555,245,24219,249988609884.60684
556,396,23306,249639191093.7107
557,576,23921,244631175544.8739
558,86,23889,242575891742.2789
559,617,22578,241436999701.3216
560,543,24464,240246540182.72372
561,473,22931,238917821204.71463
562,546,24471,238023996050.32977
563,157,24614,237044144853.1781
564,134,24571,235991366743.33472
565,132,24565,233107300789.35196
566,453,23413,230630147580.1682
567,669,23964,229286832866.46725
568,52,23180,228945847862.0579
569,588,22480,227986636021.89218
570,642,22650,226627102033.21262
571,578,23923,220689056913.58762
572,116,24534,219270288007.50558
573,138,24578,215659941053.07248
574,360,24092,213757516877.41074
575,364,24104,212061166956.25876
576,94,24069,212005745121.61963
577,130,24562,211001311539.50052
578,41,23169,210643900383.07123
579,371,24132,204115847941.4876
580,447,22847,203773711179.65054
581,527,24412,203227317804.45526
582,658,23004,201131459319.3103
583,573,23917,199907092479.94196
584,153,24605,196596392350.28915
585,139,24579,194165955453.47955
586,544,24465,191221760196.596
587,345,24076,190777804353.10678
588,126,24555,187959524422.00565
589,99,24483,187715962942.68015
590,700,24053,186605782048.59888
591,319,24368,185637780594.209
592,665,23959,184030530422.23013
593,586,22469,183217656821.913
594,194,23301,180888822530.36093
595,664,23958,179009855635.7473
596,267,23844,178042869407.61896
597,434,23354,177817296435.87347
598,214,24138,177284735374.67117
599,574,23919,177144895043.9761
600,450,23405,176197682009.75778
601,671,23968,175660980332.95587
602,448,23359,175170241675.65927
603,683,23022,170848233233.79105
604,266,23843,168248731702.42358
605,339,23821,167844492694.20224
606,372,24134,165112094303.78577
607,451,23409,164438282092.67194
608,148,24598,162986226801.11298
609,165,24641,162097296046.311
610,316,24361,160300249053.99298
611,488,23066,160108772451.8781
612,445,22845,159352244696.62036
613,539,24445,158352967638.2681
614,278,24273,158207170270.30447
615,289,24312,155844747750.3827
616,251,24228,154781798516.3789
617,169,22949,149959256349.989
618,279,24277,147417438920.25516
619,213,24137,147145799143.64804
620,427,22820,146668528560.39523
621,668,23963,143809336202.9809
622,366,24120,142545464845.99786
623,272,24260,141134672314.4109
624,311,24348,139559903909.82996
625,306,24330,139417223323.30237
626,397,23308,137096431681.24294
627,239,24185,136280313123.62993
628,156,24613,134965967017.47548
629,290,24313,134931536288.2709
630,296,24323,134322470341.48201
631,298,24326,134175326477.8115
632,541,24459,131035463941.74655
633,142,24589,131006854675.7842
634,532,24430,130534209192.43654
635,159,24622,129971289219.61694
636,107,24520,129953394640.12703
637,670,23967,129831904021.20744
638,341,23934,127558234120.45241
639,167,24649,127555642767.05336
640,225,24165,127525543754.52367
641,212,22432,127133290034.83464
642,435,23357,123940211474.16147
643,667,23962,123354454587.07648
644,333,23876,122877115550.26462
645,284,24290,122128555471.96342
646,273,24263,121921423478.17928
647,353,24656,121492824892.64134
648,305,24328,121368387760.42596
649,256,24244,121060171135.1656
650,280,24279,120870849356.89558
651,61,23442,119757515967.92278
652,424,22811,119009879324.29851
653,112,24528,117537668912.32426
654,459,23427,117284479558.21803
655,95,24474,116924296424.88794
656,363,24102,112982366294.32793
657,534,24432,112347408985.08958
658,283,24283,111030744391.24551
659,60,23440,110152222061.71042
660,84,23887,109881794150.438
661,244,24216,106852519421.74852
662,312,24350,103074770447.36313
663,293,24317,102775541716.4843
664,313,24351,101592760950.71927
665,297,24324,100049595026.0933
666,269,24250,99190411934.6842
667,318,24366,95939763263.67017
668,226,24167,95135893850.14456
669,308,24340,92841986129.18657
670,542,24460,86216319851.25085
671,271,24256,82720097767.25525
672,101,24487,82575622784.81993
673,349,24082,81877727088.54037
674,152,24603,79331486285.70456
675,291,24314,79147016651.61365
676,255,24243,75667146309.60385
677,218,24147,74159642714.48987
678,292,24315,70780288523.03
679,154,24606,69301094329.7697
680,163,24637,65872173103.4152
681,281,24280,65706254424.592766
682,253,24236,64892818692.92958
683,164,24639,64531320523.41197
684,317,24363,61918846103.79086
685,249,24225,59101007305.075386
686,158,24620,56744717432.03949
687,277,24270,56036102841.986565
688,150,24601,55197781702.71177
689,246,24220,53615708421.12121
690,288,24311,52150726320.234116
691,285,24292,52102511700.64388
692,294,24318,51887179813.05151
693,161,24631,49301566905.8452
694,162,24634,47465038850.04742
695,254,24237,46226759070.473595
696,151,24602,45502017635.79349
697,561,24378,43218819137.5165
698,166,24646,41334869053.82204
699,354,24657,40286649273.38462
700,250,24226,34829749936.43786
701,276,24269,34786579847.42782
702,247,24221,27983667453.682297
703,282,24282,23456081142.99492
704,274,24265,21917281367.084667
