,0,1,2
489,7,41,273.3587386567329
490,7,42,247.48737341529164
491,7,43,224.1093483101497
492,7,44,204.08331631958552
493,7,45,188.48076824970764
494,7,46,178.46568297574746
495,7,47,175.0
496,7,48,322.6840560052511
497,7,49,296.98484809834997
498,7,50,273.3587386567329
499,7,51,252.38858928247924
500,7,52,234.7871376374779
501,7,53,221.35943621178654
502,7,54,212.8966885604377
503,7,55,210.0
504,7,56,346.4823227814083
505,7,57,322.6840560052511
506,7,58,301.0813843464919
507,7,59,282.17902119044925
508,7,60,266.5520587052368
509,7,61,254.80384612481814
510,7,62,247.48737341529164
511,7,63,245.0
512,8,0,35.0
513,8,1,49.49747468305833
514,8,2,78.26237921249263
515,8,3,110.67971810589327
516,8,4,144.30869689661813
517,8,5,178.46568297574746
518,8,6,212.8966885604377
519,8,7,247.48737341529164
520,8,8,0.0
521,8,9,35.0
522,8,10,70.0
523,8,11,105.0
524,8,12,140.0
525,8,13,175.0
526,8,14,210.0
527,8,15,245.0
528,8,16,35.0
529,8,17,49.49747468305833
530,8,18,78.26237921249263
531,8,19,110.67971810589327
532,8,20,144.30869689661813
533,8,21,178.46568297574746
534,8,22,212.8966885604377
535,8,23,247.48737341529164
536,8,24,70.0
537,8,25,78.26237921249263
538,8,26,98.99494936611666
539,8,27,126.19429464123962
540,8,28,156.52475842498527
541,8,29,188.48076824970764
542,8,30,221.35943621178654
543,8,31,254.80384612481814
544,8,32,105.0
545,8,33,110.67971810589327
546,8,34,126.19429464123962
547,8,35,148.49242404917499
548,8,36,175.0
549,8,37,204.08331631958552
550,8,38,234.7871376374779
551,8,39,266.5520587052368
552,8,40,140.0
553,8,41,144.30869689661813
554,8,42,156.52475842498527
555,8,43,175.0
556,8,44,197.9898987322333
557,8,45,224.1093483101497
558,8,46,252.38858928247924
559,8,47,282.17902119044925
560,8,48,175.0
561,8,49,178.46568297574746
562,8,50,188.48076824970764
563,8,51,204.08331631958552
564,8,52,224.1093483101497
565,8,53,247.48737341529164
566,8,54,273.3587386567329
567,8,55,301.0813843464919
568,8,56,210.0
569,8,57,212.8966885604377
570,8,58,221.35943621178654
571,8,59,234.7871376374779
572,8,60,252.38858928247924
573,8,61,273.3587386567329
574,8,62,296.98484809834997
575,8,63,322.6840560052511
576,9,0,49.49747468305833
577,9,1,35.0
578,9,2,49.49747468305833
579,9,3,78.26237921249263
580,9,4,110.67971810589327
581,9,5,144.30869689661813
582,9,6,178.46568297574746
583,9,7,212.8966885604377
584,9,8,35.0
585,9,9,0.0
586,9,10,35.0
587,9,11,70.0
588,9,12,105.0
589,9,13,140.0
590,9,14,175.0
591,9,15,210.0
592,9,16,49.49747468305833
593,9,17,35.0
594,9,18,49.49747468305833
595,9,19,78.26237921249263
596,9,20,110.67971810589327
597,9,21,144.30869689661813
598,9,22,178.46568297574746
599,9,23,212.8966885604377
600,9,24,78.26237921249263
601,9,25,70.0
602,9,26,78.26237921249263
603,9,27,98.99494936611666
604,9,28,126.19429464123962
605,9,29,156.52475842498527
606,9,30,188.48076824970764
607,9,31,221.35943621178654
608,9,32,110.67971810589327
609,9,33,105.0
610,9,34,110.67971810589327
611,9,35,126.19429464123962
612,9,36,148.49242404917499
613,9,37,175.0
614,9,38,204.08331631958552
615,9,39,234.7871376374779
